"Abbreviation"	"Reaction"	"Description"	"Reaction_desc"
"R13306"	"C00049[c] + C20234[c] <=> C00036[c] + C22904[c]"	"L-aspartate:5-guanidino-3-methyl-2-oxopentanoate aminotransferase"	"L-Aspartate + (3R)-5-Guanidino-3-methyl-2-oxopentanoate <=> Oxaloacetate + (3R)-3-Methyl-L-arginine"
"R00939"	"C00101[c] + C00006[c] <=> C00415[c] + C00005[c] + C00080[c]"	"5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase"	"Tetrahydrofolate + NADP+ <=> Dihydrofolate + NADPH + H+"
"R00350"	"C04115[c] <=> C00036[c] + C00022[c]"	"4-carboxy-4-hydroxy-2-oxoadipate oxaloacetate-lyase (pyruvate-forming)"	"4-Carboxy-4-hydroxy-2-oxoadipate <=> Oxaloacetate + Pyruvate"
"R10079"	"C01417[c] + C00288[c] + C00080[c] <=> C00014[c] + 2 C00011[c]"	"carbamate hydro-lyase;"	"Cyanate + HCO3- + H+ <=> Ammonia + 2 CO2"
"R02847"	"C00737[c] + C00003[c] <=> C16830[c] + C00004[c] + C00080[c]"	"D-aldose:NAD+ 1-oxidoreductase"	"D-Aldose + NAD+ <=> D-Aldonolactone + NADH + H+"
"R08907"	"C18006[c] <=> C18007[c] + C00011[c]"	"gamma-L-glutamyl-[acp] carboxy-lyase (4-aminobutyryl-[acp]-forming)"	"gamma-L-Glutamyl-[acp] <=> 4-Aminobutyryl-[acp] + CO2"
"R00640"	"C01115[c] + 2 C00125[c] <=> C00072[c] + 2 C00126[c] + 2 C00080[c]"	"L-galactono-1,4-lactone:ferricytochrome-c oxidoreductase"	"L-Galactono-1,4-lactone + 2 Ferricytochrome c <=> Ascorbate + 2 Ferrocytochrome c + 2 H+"
"R13374"	"C22949[c] + C00360[c] + C00028[c] <=> C22959[c] + C05198[c] + C00030[c]"	"X"	"5'-Deoxyadenosin-5'-yl radical + dAMP + Acceptor <=> 4'-Phospho-dehydrooxetanocin + 5'-Deoxyadenosine + Reduced acceptor"
"R10313"	"C19943[c] + C00007[c] + C03024[c] <=> C20510[c] + C03161[c] + C00001[c]"	"11-oxo-beta-amyrin,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (30-hydroxylating)"	"11-Oxo-beta-amyrin + Oxygen + [Reduced NADPH---hemoprotein reductase] <=> 30-Hydroxy-11-oxo-beta-amyrin + [Oxidized NADPH---hemoprotein reductase] + H2O"
"R03772"	"C02991[c] + C00001[c] <=> C01934[c]"	"L-rhamno-1,4-lactone lactonohydrolase"	"L-Rhamnono-1,4-lactone + H2O <=> L-Rhamnonate"
"R03033"	"C00880[c] <=> C01216[c] + C00001[c]"	"D-galactonate hydro-lyase"	"D-Galactonate <=> 2-Dehydro-3-deoxy-D-galactonate + H2O"
"R00889"	"C00096[c] <=> C02280[c]"	"GDP-mannose 3,5-epimerase"	"GDP-mannose <=> GDP-L-galactose"
"R09329"	"C18630[c] + C00005[c] + C00080[c] <=> C18631[c] + C00006[c]"	"nogalavinone:NADP+ 7-oxidoreductase"	"Nogalaviketone + NADPH + H+ <=> Nogalavinone + NADP+"
"R01918"	"C05730[c] + C00001[c] <=> C00051[c] + C00315[c]"	"gamma-L-glutamyl-L-cysteinyl-glycine:spermidine amidase"	"Glutathionylspermidine + H2O <=> Glutathione + Spermidine"
"R08337"	"C07185[c] <=> C16654[c]"	"X"	"Valproic acid <=> 2-n-Propyl-3-pentenoic acid"
"R12495"	"C00002[c] + C22213[c] <=> C00020[c] + C00013[c] + C22214[c]"	"marinolic acid:CoA ligase (AMP-forming)"	"ATP + Pseudomonic acid <=> AMP + Diphosphate + Pseudomonoyl-CoA"
"R00659"	"C00075[c] + C00022[c] <=> C00015[c] + C00074[c]"	"UTP:pyruvate 2-O-phosphotransferase"	"UTP + Pyruvate <=> UDP + Phosphoenolpyruvate"
"R09960"	"C06762[c] <=> C20240[c] + C00001[c]"	"4-hydroxy-2-oxohexanoate hydro-lyase [(2Z,4Z)-2-hydroxyhexa-2,4-dienoate-forming]"	"4-Hydroxy-2-oxohexanoic acid <=> (2Z,4Z)-2-Hydroxyhexa-2,4-dienoate + H2O"
"R03507"	"C05446[c] + C00007[c] + 2 C00080[c] + 2 C00662[c] <=> C01301[c] + 2 C00001[c] + 2 C00667[c]"	"X"	"3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane + Oxygen + 2 H+ + 2 Reduced adrenal ferredoxin <=> 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al + 2 H2O + 2 Oxidized adrenal ferredoxin"
"R02546"	"C00898[c] <=> C00552[c]"	"(R,R)-tartrate epimerase"	"(R,R)-Tartaric acid <=> meso-Tartaric acid"
"R05197"	"1 C00002[c] + C05928[c] + 1 C00025[c] <=> 1 C00008[c] + 1 C00009[c] + C05929[c]"	"10-formyltetrahydropteroyldiglutamate:L-glutamate gamma-ligase (ADP-forming)"	"1 ATP + (6R)-10-Formyltetrahydropteroyldiglutamate + 1 L-Glutamate <=> 1 ADP + 1 Orthophosphate + 10-Formyltetrahydrofolylpolyglutamate"
"R00803"	"C00089[c] + C00009[c] <=> C00095[c] + C00103[c]"	"sucrose:phosphate alpha-D-glucosyltransferase"	"Sucrose + Orthophosphate <=> D-Fructose + D-Glucose 1-phosphate"
"R11975"	"C08616[c] + C03024[c] + C00007[c] <=> C21820[c] + C03161[c] + C00001[c]"	"beta-amyrin,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (maniladiol forming)"	"beta-Amyrin + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Maniladiol + [Oxidized NADPH---hemoprotein reductase] + H2O"
"R11898"	"C21752[c] <=> C00024[c]"	"X"	"2-Hydroxyethyl-CoM <=> Acetyl-CoA"
"R01139"	"C00131[c] + C00031[c] <=> C00206[c] + C00092[c]"	"dATP:D-glucose 6-phosphotransferase"	"dATP + D-Glucose <=> dADP + D-Glucose 6-phosphate"
"R07430"	"C15789[c] + C00007[c] + C00005[c] <=> C15790[c] + C00006[c] + C00001[c]"	"6-oxocampestanol,NADPH:brassinosteroid C22alpha-hydroxylase"	"6-Oxocampestanol + Oxygen + NADPH <=> Cathasterone + NADP+ + H2O"
"R05397"	"C07093[c] + C00003[c] <=> C07094[c] + C00004[c] + C00080[c]"	"3,6-dichloro-cis-1,2-dihydroxycyclohexa-3,5-diene:NAD+ oxidoreductase"	"3,6-Dichloro-cis-1,2-dihydroxycyclohexa-3,5-diene + NAD+ <=> 3,6-Dichlorocatechol + NADH + H+"
"R12370"	"C22115[c] + 2 C00999[c] + C00007[c] + 2 C00080[c] <=> C22116[c] + 2 C00996[c] + C00001[c]"	"4alpha-formyl-4beta,14alpha-dimethyl-9beta,19-cyclo-5alpha-ergost-24(24(1))-en-3beta-ol,ferrocytochrome-b5:oxygen oxidoreductase"	"4alpha-Formyl-4beta,14alpha-dimethyl-9beta,19-cyclo-5alpha-ergost-24(24(1))-en-3beta-ol + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> 3beta-Hydroxy-4beta,14alpha-dimethyl-9beta,19-cyclo-5alpha-ergost-24(24(1))-en-4alpha-carboxylate + 2 Ferricytochrome b5 + H2O"
"R13243"	"C04563[c] + C00001[c] <=> C22851[c] + C00009[c]"	"myo-inositol-pentakisphosphate phosphohydrolase"	"D-myo-Inositol 1,2,4,5,6-pentakisphosphate + H2O <=> 1D-myo-Inositol 1,2,5,6-tetrakisphosphate + Orthophosphate"
"R12029"	"C21863[c] + C01352[c] + C01324[c] + C00007[c] <=> C21864[c] + C00016[c] + 2 C00001[c]"	"X"	"4,5-Dibromo-1H-pyrrole-2-carbonyl-[peptidyl-carrier protein] + FADH2 + Bromide + Oxygen <=> 3,4,5-Tribromo-1H-pyrrole-2-carbonyl-[peptidyl-carrier protein] + FAD + 2 H2O"
"R00554"	"C00002[c] + C00062[c] <=> C00008[c] + C05945[c]"	"ATP:L-arginine Nomega-phosphotransferase"	"ATP + L-Arginine <=> ADP + L-Arginine phosphate"
"R03829"	"C00096[c] + C01810[c] <=> C00035[c] + C02101[c]"	"GDPmannose:glucomannan 1,4-beta-D-mannosyltransferase"	"GDP-mannose + Glucomannan <=> GDP + Glucomannan longer by one mannose unit"
"R02071"	"C00002[c] + C01094[c] <=> C00008[c] + C05378[c]"	"ATP:D-fructose-1-phosphate 6-phosphotransferase"	"ATP + D-Fructose 1-phosphate <=> ADP + beta-D-Fructose 1,6-bisphosphate"
"R03783"	"C01953[c] + C03024[c] + C00007[c] <=> C05138[c] + C03161[c] + C00001[c]"	"pregnenolone,NADPH-hemoprotein reductase:oxygen oxidoreductase (17alpha-hydroxylating)"	"Pregnenolone + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 17alpha-Hydroxypregnenolone + [Oxidized NADPH---hemoprotein reductase] + H2O"
"R12959"	"C00519[c] + C00005[c] + C00080[c] + C00007[c] <=> C00245[c] + C00006[c] + C00001[c]"	"X"	"Hypotaurine + NADPH + H+ + Oxygen <=> Taurine + NADP+ + H2O"
"R05981"	"C00001[c] + G00010 <=> C00031[c] + G00011"	"GlcMan9GlcNAc2-[protein] 3-alpha-glucohydrolase (configuration-inverting)"	"H2O + G00010 <=> D-Glucose + G00011"
"R00545"	"C02444[c] + C00001[c] <=> C00060[c] + C00047[c]"	"N6-acyl-L-lysine amidohydrolase"	"N6-Acyl-L-lysine + H2O <=> Carboxylate + L-Lysine"
"R03423"	"C01240[c] + C00001[c] <=> C03419[c]"	"nucleoside-2',3'-cyclic-phosphate 3'-nucleotidohydrolase"	"2',3'-Cyclic nucleotide + H2O <=> Nucleoside 3'-phosphate"
"R08409"	"C16695[c] + 2 C03162[c] + 2 C00080[c] <=> C10385[c] + 2 C03025[c] + 4 C00080[c]"	"plastoquinol:oxidized-plastocyanin oxidoreductase"	"Plastoquinol-9 + 2 Oxidized plastocyanin + 2 H+ <=> Plastoquinone-9 + 2 Reduced plastocyanin + 4 H+"
"R11407"	"G10610 + G13027 <=> G10619 + G13087"	"X"	"G10610 + G13027 <=> G10619 + G13087"
"R06826"	"C04608[c] + C02199[c] <=> C12627[c] + C00015[c]"	"UDP-L-rhamnose:apigenin 7-O-beta-D-glucoside 2''-O-beta-L-rhamnosyltransferase"	"Apigenin 7-O-beta-D-glucoside + UDP-L-rhamnose <=> Apigenin 7-O-neohesperidoside + UDP"
"R10158"	"C20404[c] + C00138[c] + C00007[c] <=> C20405[c] + C00139[c] + C00001[c]"	"1-deoxypentalenate,reduced ferredoxin:oxygen oxidoreductase"	"1-Deoxypentalenate + Reduced ferredoxin + Oxygen <=> Pentalenate + Oxidized ferredoxin + H2O"
"R08523"	"2 C16731[c] + C00027[c] <=> C16729[c] + C16734[c] + 2 C00001[c]"	"X"	"2 [Thyroglobulin]-3,5-diiodo-L-tyrosine + Hydrogen peroxide <=> [Thyroglobulin]-L-thyroxine + Thyroglobulin dehydroalanine + 2 H2O"
"R05922"	"G10617 + G00148 <=> G10622 + G00149"	"X"	"G10617 + G00148 <=> G10622 + G00149"
"R04382"	"C06118[c] <=> 2 C04053[c]"	"4-(4-deoxy-alpha-D-galact-4-enuronosyl)-D-galacturonate lyase"	"4-(4-Deoxy-alpha-D-gluc-4-enuronosyl)-D-galacturonate <=> 2 5-Dehydro-4-deoxy-D-glucuronate"
"R12758"	"C00078[c] <=> C00463[c] + C02218[c]"	"X"	"L-Tryptophan <=> Indole + Dehydroalanine"
"R10521"	"C20669[c] + C00007[c] <=> C20670[c]"	"2-amino-5-chlorophenol:oxygen 1,6-oxidoreductase (decyclizing)"	"2-Amino-5-chlorophenol + Oxygen <=> 2-Amino-5-chloromuconate 6-semialdehyde"
"R10269"	"C20475[c] <=> C20276[c] + C00001[c]"	"X"	"Sporulenol <=> Tetraprenyl-beta-curcumene + H2O"
"R05062"	"C05986[c] + 2 C00125[c] <=> C05985[c] + 2 C00126[c] + 2 C00080[c]"	"2-propyn-1-ol:cytochrome-c oxidoreductase"	"2-Propyn-1-ol + 2 Ferricytochrome c <=> 2-Propynal + 2 Ferrocytochrome c + 2 H+"
"R03092"	"C00954[c] + C00007[c] <=> C05834[c] + C00011[c]"	"X"	"Indole-3-acetate + Oxygen <=> 3-Methyldioxyindole + CO2"
"R04960"	"C05752[c] + C01209[c] <=> C05753[c] + C00011[c] + C00229[c]"	"octanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)"	"Octanoyl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxodecanoyl-[acp] + CO2 + Acyl-carrier protein"
"R00324"	"C02132[c] + C00001[c] <=> C00033[c] + C00022[c]"	"2,4-dioxopentanoate acetylhydrolase;"	"Acetylpyruvate + H2O <=> Acetate + Pyruvate"
"R09157"	"C11150[c] + 2 C00001[c] <=> C00209[c] + 3 C01327[c]"	"X"	"Trichloroacetate + 2 H2O <=> Oxalate + 3 Hydrochloric acid"
"R05181"	"C00019[c] + C06407[c] <=> C00021[c] + C06416[c]"	"S-adenosyl-L-methionine:precorrin-4 C11 methyltransferase"	"S-Adenosyl-L-methionine + Precorrin 4 <=> S-Adenosyl-L-homocysteine + Precorrin 5"
"R13061"	"C06563[c] <=> C14458[c]"	"X"	"Genistein <=> Dihydrogenistein"
"R08031"	"C15525[c] <=> C16405[c]"	"X"	"Eriodictyol chalcone <=> Homoeriodictyol chalcone"
"R09591"	"C19702[c] + C00097[c] + C00002[c] <=> C19703[c] + C00020[c] + C00013[c]"	"L-cysteine:1-O-(2-amino-2-deoxy-alpha-D-glucopyranosyl)-1D-myo-inositol ligase (AMP-forming)"	"1-O-(2-Amino-2-deoxy-alpha-D-glucopyranosyl)-1D-myo-inositol + L-Cysteine + ATP <=> 1-O-[2-(L-Cysteinamido)-2-deoxy-alpha-D-glucopyranosyl]-1D-myo-inositol + AMP + Diphosphate"
"R07268"	"C00002[c] + C05774[c] <=> C00536[c] + C06508[c]"	"ATP:cobinamide Cobeta-adenosyltransferase"	"ATP + Cobinamide <=> Triphosphate + Adenosyl cobinamide"
"R05056"	"C05953[c] <=> C05955[c]"	"X"	"Prostaglandin A2 <=> Prostaglandin C2"
"R02726"	"2 C00662[c] + C00377[c] + C00007[c] + 2 C00080[c] <=> C01058[c] + 2 C00667[c] + C00001[c]"	"steroid,reduced-adrenal-ferredoxin:oxygen oxidoreductase (11-hydroxylating)"	"2 Reduced adrenal ferredoxin + Steroid + Oxygen + 2 H+ <=> 11beta-Hydroxysteroid + 2 Oxidized adrenal ferredoxin + H2O"
"R02856"	"C00810[c] + C00006[c] <=> C00741[c] + C00005[c] + C00080[c]"	"X"	"(R)-Acetoin + NADP+ <=> Diacetyl + NADPH + H+"
"R11591"	"C00256[c] + C15602[c] <=> C00022[c] + C15603[c]"	"(R)-lactate:quinone 2-oxidoreductase"	"(R)-Lactate + Quinone <=> Pyruvate + Hydroquinone"
"R00161"	"C00002[c] + C00061[c] <=> C00013[c] + C00016[c]"	"ATP:FMN adenylyltransferase"	"ATP + FMN <=> Diphosphate + FAD"
"R10941"	"C00002[c] + C20967[c] + C00183[c] <=> C00008[c] + C00009[c] + C20965[c]"	"N(beta)-epoxysuccinamoyl-DAP:L-valine ligase (ADP-forming)"	"ATP + N(beta)-Epoxysuccinamoyl-DAP + L-Valine <=> ADP + Orthophosphate + N(beta)-Epoxysuccinamoyl-DAP-Val"
"R03258"	"C00002[c] + C01117[c] <=> C00020[c] + C04292[c]"	"ATP:nucleoside-5'-phosphate pyrophosphotransferase"	"ATP + Nucleoside 5'-phosphate <=> AMP + 5'-Phosphonucleoside 3'-diphosphate"
"R10911"	"C00071[c] + C15602[c] + C00001[c] <=> C00060[c] + C15603[c]"	"aldehyde:quinone oxidoreductase"	"Aldehyde + Quinone + H2O <=> Carboxylate + Hydroquinone"
"R00407"	"C00091[c] + C00001[c] <=> C00010[c] + C00042[c]"	"succinyl-CoA hydrolase"	"Succinyl-CoA + H2O <=> CoA + Succinate"
"R11249"	"C21205[c] <=> C21209[c]"	"X"	"1-epi-Valienol 7-phosphate <=> 1-epi-Valienol 1-phosphate"
"R00829"	"C00091[c] + C00024[c] <=> C00010[c] + C02232[c]"	"succinyl-CoA:acetyl-CoA C-acyltransferase;"	"Succinyl-CoA + Acetyl-CoA <=> CoA + 3-Oxoadipyl-CoA"
"R08363"	"C04232[c] + C16664[c] + C00001[c] <=> C03723[c] + C16663[c]"	"2'-deoxyribonucleoside-diphosphate:tryparedoxin-disulfide 2'-oxidoreductase"	"2'-Deoxyribonucleoside diphosphate + Tryparedoxin disulfide + H2O <=> Ribonucleoside diphosphate + Tryparedoxin"
"R09304"	"G10610 + C02189[c] <=> G10619 + G12573"	"X"	"G10610 + [Protein]-L-serine <=> G10619 + G12573"
"R09921"	"C18224[c] + 3 C00007[c] + 3 C03024[c] <=> C20208[c] + 3 C03161[c] + 4 C00001[c]"	"stemod-13(17)-ene,[reduced NADPH---hemoprotein reductase]:oxygen 19-oxidoreductase"	"Stemod-13(17)-ene + 3 Oxygen + 3 [Reduced NADPH---hemoprotein reductase] <=> syn-Stemoden-19-oate + 3 [Oxidized NADPH---hemoprotein reductase] + 4 H2O"
"R11751"	"C21634[c] + C00005[c] + C00080[c] <=> C16701[c] + C00006[c]"	"X"	"Norcraugsodine + NADPH + H+ <=> Norbelladine + NADP+"
"R06170"	"G10615 + G00038 <=> G10620 + G00039"	"galactoside alpha-1,2-L-fucosyltransferase"	"G10615 + G00038 <=> G10620 + G00039"
"R12966"	"C22487[c] + C00007[c] <=> C16256[c] + C00011[c] + C00027[c]"	"benzylmalonyl-CoA:oxygen oxidoreductase (decarboxylating)"	"Benzylmalonyl-CoA + Oxygen <=> (E)-Cinnamoyl-CoA + CO2 + Hydrogen peroxide"
"R02592"	"C05680[c] + C10905[c] <=> C06459[c]"	"X"	"N-Dimethyl-2-aminoethylphosphonate + Activated methyl group <=> N-Trimethyl-2-aminoethylphosphonate"
"R09016"	"C09315[c] <=> C09263[c]"	"X"	"Umbelliferone <=> Esculetin"
"R11121"	"C21125[c] + 2 C00007[c] + 2 C00004[c] + 3 C00080[c] <=> C21126[c] + 2 C00011[c] + 3 C00001[c] + 2 C00003[c]"	"X"	"Chromopyrrolate + 2 Oxygen + 2 NADH + 3 H+ <=> K-252c + 2 CO2 + 3 H2O + 2 NAD+"
"R09425"	"C19574[c] + C00007[c] + C00005[c] + C00080[c] <=> C19580[c] + C00001[c] + C00006[c]"	"X"	"4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol + Oxygen + NADPH + H+ <=> alpha-[3-[(Hydroxymethyl)nitrosoamino]propyl]-3-pyridinemethanol + H2O + NADP+"
"R07271"	"C00235[c] + C01263[c] <=> C00013[c] + C15509[c]"	"dimethylallyl-diphosphate:(6aS,11aS)-3,6a,9-trihydroxypterocarpan dimethylallyltransferase"	"Dimethylallyl diphosphate + 3,6,9-Trihydroxypterocarpan <=> Diphosphate + Glyceocarpin"
"R12162"	"C21971[c] + C00019[c] <=> C19154[c] + C00014[c] + C00073[c] + C05198[c]"	"5-amino-5-(4-hydroxybenzyl)-6-(D-ribitylimino)-5,6-dihydrouracil ammonia-lyase (7,8-didemethyl-8-hydroxy-5-deazariboflavin-forming)"	"5-Amino-5-(4-hydroxybenzyl)-6-(D-ribitylimino)-5,6-dihydrouracil + S-Adenosyl-L-methionine <=> 7,8-Didemethyl-8-hydroxy-5-deazariboflavin + Ammonia + L-Methionine + 5'-Deoxyadenosine"
"R08307"	"C16587[c] + C00003[c] + C00001[c] <=> C16591[c] + C00004[c] + C00080[c]"	"3-carbamoyl-2-phenylpropionaldehyde:NAD+ oxidoreductase"	"3-Carbamoyl-2-phenylpropionaldehyde + NAD+ + H2O <=> 3-Carbamoyl-2-phenylpropionic acid + NADH + H+"
"R07395"	"C15650[c] + C00001[c] <=> C15606[c] + C00009[c]"	"5-(methylthio)-2,3-dioxopentyl-phosphate phosphohydrolase (isomerizing)"	"2,3-Diketo-5-methylthiopentyl-1-phosphate + H2O <=> 1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one + Orthophosphate"
"R09482"	"C01209[c] <=> C03939[c] + C00011[c]"	"malonyl-[acyl-carrier-protein] carboxy-lyase"	"Malonyl-[acyl-carrier protein] <=> Acetyl-[acyl-carrier protein] + CO2"
"R07032"	"C14815[c] + C00001[c] <=> C06315[c]"	"X"	"5,6-Epoxytetraene + H2O <=> Lipoxin B4"
"R07807"	"G01977 + C00001[c] <=> G13073 + C00124[c]"	"X"	"G01977 + H2O <=> G13073 + D-Galactose"
"R08100"	"C02359[c] + C00004[c] + C00080[c] + C00007[c] <=> C16482[c] + C00003[c]"	"2-fluorobenzoate,NADH:oxygen oxidoreductase (1,2-hydroxylating)"	"2-Fluorobenzoate + NADH + H+ + Oxygen <=> 2-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate + NAD+"
"R12209"	"C15772[c] + C00001[c] <=> C15770[c] + C00031[c]"	"(2R)-4-hydroxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl beta-D-glucopyranoside beta-D-glucosidase"	"DIBOA-glucoside + H2O <=> DIBOA + D-Glucose"
"R13376"	"C22935[c] <=> C22960[c]"	"X"	"Dihydroprecondylocarpine acetate <=> Dehydrosecodine"
"R07277"	"C05324[c] + C00026[c] <=> C15486[c] + C00025[c]"	"nicotianamine:2-oxoglutarate aminotransferase; nicotianamine transaminase"	"Nicotianamine + 2-Oxoglutarate <=> 3''-Deamino-3''-oxonicotianamine + L-Glutamate"
"R09462"	"C00712[c] + C01025[c] <=> C19418[c] + C00069[c]"	"oleate:lipid-hydroperoxide oxidoreductase (9,10-epoxidising)"	"(9Z)-Octadecenoic acid + Lipid hydroperoxide <=> 9,10-Epoxystearate + Alcohol"
"R09165"	"C18253[c] + C00007[c] + C00004[c] + C00080[c] <=> C18256[c] + C00003[c]"	"X"	"Phenanthrene-4-carboxylate + Oxygen + NADH + H+ <=> cis-3,4-Phenanthrenedihydrodiol-4-carboxylate + NAD+"
"R00512"	"C00002[c] + C00055[c] <=> C00008[c] + C00112[c]"	"ATP:CMP phosphotransferase"	"ATP + CMP <=> ADP + CDP"
"R06872"	"C00093[c] + C00040[c] <=> C03974[c] + C00010[c]"	"acyl-CoA:sn-glycerol-3-phosphate 2-O-acyltransferase"	"sn-Glycerol 3-phosphate + Acyl-CoA <=> 2-Acyl-sn-glycerol 3-phosphate + CoA"
"R04473"	"C00173[c] + C04315[c] <=> C00229[c] + C03692[c]"	"acyl-[acyl-carrier protein]:D-galactosylacylglycerol O-acyltransferase"	"Acyl-[acyl-carrier protein] + 2-Acyl-3-O-(beta-D-galactosyl)-sn-glycerol <=> Acyl-carrier protein + 1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol"
"R04536"	"C04620[c] + C00006[c] <=> C05750[c] + C00005[c] + C00080[c]"	"(3R)-3-hydroxyoctanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase"	"(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein] + NADP+ <=> 3-Oxooctanoyl-[acp] + NADPH + H+"
"R08041"	"C16401[c] <=> C01468[c]"	"X"	"2,4,6-Trihydroxytoluene <=> 4-Cresol"
"R10686"	"C00018[c] + C00135[c] <=> C04556[c]"	"X"	"Pyridoxal phosphate + L-Histidine <=> 4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine"
"R08490"	"C16725[c] <=> C01897[c]"	"X"	"Deoxypumiloside <=> Camptothecin"
"R08604"	"C00398[c] + C00007[c] + C00005[c] <=> C17203[c] + C00001[c] + C00006[c]"	"tryptamine,NADPH:oxygen oxidoreductase (N-hydroxylating)"	"Tryptamine + Oxygen + NADPH <=> N-Hydroxyl-tryptamine + H2O + NADP+"
"R12475"	"C22181[c] + C00001[c] <=> C22187[c]"	"apo-diglucosyl-salmochelin esterase"	"Diglucosyl-enterobactin + H2O <=> Diglucosyl-(2,3-dihydroxybenzoylserine)3"
"R00373"	"C00037[c] + C00036[c] <=> C00048[c] + C00049[c]"	"glycine:oxaloacetate aminotransferase"	"Glycine + Oxaloacetate <=> Glyoxylate + L-Aspartate"
"R05641"	"C01694[c] + C00006[c] <=> C05440[c] + C00005[c] + C00080[c]"	"ergosterol:NADP+ Delta24(24(1))-oxidoreductase"	"Ergosterol + NADP+ <=> Ergosta-5,7,22,24(28)-tetraen-3beta-ol + NADPH + H+"
"R09393"	"C06099[c] + C00005[c] + C00007[c] + C00080[c] <=> C07271[c] + C00006[c] + C00001[c]"	"limonene,NADPH:oxygen oxidoreductase"	"(R)-Limonene + NADPH + Oxygen + H+ <=> Limonene-1,2-epoxide + NADP+ + H2O"
"R11427"	"C21380[c] + 2 C00006[c] <=> C21381[c] + 2 C00005[c] + C00080[c]"	"(2S)-flavan-3-ol:NADP+ oxidoreductase"	"(2S,3S)-Flavan-3-ol + 2 NADP+ <=> Anthocyanidin with a 3-hydroxy group + 2 NADPH + H+"
"R00300"	"C00031[c] + C00003[c] <=> C00198[c] + C00004[c] + C00080[c]"	"D-glucose:NAD+ 1-oxidoreductase"	"D-Glucose + NAD+ <=> D-Glucono-1,5-lactone + NADH + H+"
"R06043"	"G10608 + C00092[c] <=> G10619 + G09795"	"UDP-glucose:D-glucose-6-phosphate 1-alpha-D-glucosyltransferase"	"G10608 + D-Glucose 6-phosphate <=> G10619 + G09795"
"R05760"	"C00019[c] + C01902[c] <=> C00021[c] + C11513[c]"	"S-adenosyl-L-methionine:cycloartenol 24-C-methyltransferase"	"S-Adenosyl-L-methionine + Cycloartenol <=> S-Adenosyl-L-homocysteine + (24R)-24-Methylcycloart-25-en-3-beta-ol"
"R09817"	"C08616[c] + 2 C03024[c] + 2 C00007[c] <=> C19943[c] + 3 C00001[c] + 2 C03161[c]"	"beta-amyrin,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (hydroxylating)"	"beta-Amyrin + 2 [Reduced NADPH---hemoprotein reductase] + 2 Oxygen <=> 11-Oxo-beta-amyrin + 3 H2O + 2 [Oxidized NADPH---hemoprotein reductase]"
"R09034"	"C00040[c] + C03819[c] <=> C00010[c] + C01194[c]"	"acyl-CoA:1-acyl-sn-glycero-3-phosphoinositol O-acyltransferase"	"Acyl-CoA + 1-Acylglycerophosphoinositol <=> CoA + 1-Phosphatidyl-D-myo-inositol"
"R11402"	"C00044[c] + C21367[c] <=> C00013[c] + C21368[c]"	"GTP:valienol-1-phosphate guanylyltransferase"	"GTP + Valienol 1-phosphate <=> Diphosphate + GDP-valienol"
"R07648"	"C00448[c] <=> C16142[c] + C00013[c]"	"2-trans,6-trans-farnesyl-diphosphate diphosphate-lyase [(-)-germacrene D-forming]"	"trans,trans-Farnesyl diphosphate <=> (-)-Germacrene D + Diphosphate"
"R02751"	"C00675[c] + C00001[c] <=> C02269[c] + C00009[c]"	"deoxyribonucleotide 3'-phosphohydrolase"	"Deoxynucleoside 3'-phosphate + H2O <=> Deoxynucleoside + Orthophosphate"
"R00295"	"C01861[c] + C01328[c] + C00003[c] + 2 C00001[c] <=> 3 C11481[c] + C00004[c] + C00080[c]"	"trithionate,NAD+ oxidoreductase"	"Trithionate + HO- + NAD+ + 2 H2O <=> 3 HSO3- + NADH + H+"
"R06125"	"G11108 + C00092[c] <=> G09795 + G10620"	"GDP-glucose:D-glucose-6-phosphate 1-alpha-D-glucosyltransferase"	"G11108 + D-Glucose 6-phosphate <=> G09795 + G10620"
"R06518"	"C12126[c] + C00001[c] <=> C00162[c] + C00836[c]"	"N-acylsphingosine amidohydrolase"	"Dihydroceramide + H2O <=> Fatty acid + Sphinganine"
