bigg_id,name,reaction_string,kegg_reactions
PGLer,"6-phosphogluconolactonase, endoplasmic reticulum",h2o_r + 6pgl_r <-> 6pgc_r + h_r,R02035
PMI12346PHn,"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase, nuclear",h2o_n + ppmi12346p_n <-> pi_n + h_n + minohp_n,R05779
PNTKm,Pantothenate kinase (mitochondrial),pnto__R_m + atp_m <-> h_m + 4ppan_m + adp_m,R03018
PPA2m,"Inorganic triphosphatase, mitochondrial",pppi_m + h2o_m <-> ppi_m + h_m + pi_m,R00138
PPCOACm,"Propionyl-CoA carboxylase, mitochondrial",hco3_m + ppcoa_m + atp_m <-> adp_m + h_m + mmcoa__S_m + pi_m,R01859
PPD2CSPp,PPD2CSPp,6a2ohxnt_x <-> 1pipdn2c_x + h2o_x,R04175
PRO1x,Proline oxidase  L proline  NAD ,nad_c + pro__L_c <-> nadh_c + 1pyr5c_c + 2.0 h_c,R01248
PROD2m,Proline dehydrogenase (m),pro__L_m + fad_m <-> 1pyr5c_m + h_m + fadh2_m,R10507
RADH,Retinal dehydrogenase,h2o_c + nad_c + retinal_c <-> retn_c + nadh_c + 2.0 h_c,R02123
SACCD4m,"Saccharopine dehydrogenase (NAD, L-glutamate forming), mitochondrial",nadp_m + saccrp__L_m + h2o_m <-> glu__L_m + nadph_m + h_m + L2aadp6sa_m,R02315
SALMCOM,S-Adenosyl-L-methionine:catechol O-methyltransferase,amet_c + nrpphr_c <-> normete__L_c + ahcys_c + h_c,R02534
SAMHISTA,S-Adenosyl-L-methionine:histamine N-tele-methyltransferase,hista_c + amet_c <-> mhista_c + ahcys_c + h_c,R02155
SELCYSTS,Selanocystathionine beta-synthase,selhcys_c + ser__L_c <-> h2o_c + selcyst_c,R04942
SGPL11r,Sphingosine-1-phosphate lyase 1,sph1p_r <-> ethamp_r + hxdcal_r,R02464
SLDxm,"L-sulfolactate dehydrogenase (NAD+), mitochondrial",sl__L_m + nad_m <-> h_m + nadh_m + 3spyr_m,R05693
SPODMm,Superoxide dismutase,2.0 h_m + 2.0 o2s_m <-> h2o2_m + o2_m,R00275
SPRn,"Sepiapterin reductase, nuclear",6pthp_n + 2.0 nadph_n + 2.0 h_n <-> thbpt_n + 2.0 nadp_n,R08208
SQLSr,Squalene synthase,nadph_r + 2.0 frdp_r + h_r <-> nadp_r + 2.0 ppi_r + sql_r,R06223
THMTP,Thiamine-triphosphatase,thmtp_c + h2o_c <-> pi_c + thmpp_c + h_c,R00618
TMDK1m,Thymidine kinase (ATP:thymidine),thymd_m + atp_m <-> dtmp_m + h_m + adp_m,R01567
TYROXDAc,Tyramine:oxygen oxidoreductase(deaminating)(flavin-containing) (cytosol),tym_c + h2o_c + o2_c <-> h2o2_c + nh4_c + 4hoxpacd_c,R02382
UAGALDP,UDP-N-acetylgalactosamine diphosphorylase,utp_c + acgal1p_c + h_c <-> udpacgal_c + ppi_c,R10183
UDPGLDCg,"UDP-D-glucuronate decarboxylase, Golgi apparatus",h_g + udpglcur_g <-> udpxyl_g + co2_g,R01384
UDPGP,UDP-glucose glucophosphohydrolase,udpg_c + h2o_c <-> ump_c + g1p_c + 2.0 h_c,R00287
UGALGTg,"UDPgalactose:D-glucose 4-beta-D-galactosyltransferase, Golgi apparatus",udpgal_g + glc__D_g <-> h_g + udp_g + lcts_g,R00503; R06067
XANDp,"Xanthine dehydrogenase, peroxisomal",h2o_x + xan_x + nad_x <-> urate_x + h_x + nadh_x,R02103
XAOx,"Xanthine  oxidase,peroxisomal",h2o_x + xan_x + o2_x <-> urate_x + h2o2_x,R02107
XYLUR,Xylulose reductase,nadph_c + xylu__L_c + h_c <-> xylt_c + nadp_c,R01904
7MHTS,7MHTS,thr__L_c + 7mhp_c + atp_c <-> h_c + 7mht_c + pi_c + adp_c,R08323
ADOCBIAH,MNXR85327,h2o_c + adocbi_c <-> appl_c + adcobhex_c,R05226
AHXDH,AHXDH,6ax6ax_c + h2o_c <-> 2.0 6ax_c,R00059
AKGCAL,AKGCAL,accoa_c + akg_c <-> coa_c + hacon_T_c + h_c,R08213
ALCD20y,ALCD20y,2ppoh_c + nadp_c <-> acetone_c + nadph_c + h_c,R01550
CH2ACH,CH2ACH,h2o_c + h2acon_C_c <-> tih2cit_c,R10393
COBS,COBS,atp_c + 7mht_c <-> cob_c + adp_c + h_c,R08217
DMAMT,DMAMT,dma_c + com_c <-> mma_c + mcom_c,R09999
GF4GL_0,GF4GL 0,glu__L_c + f420_0_c + gtp_c <-> pi_c + gdp_c + f420_1_c + h_c,R09399
GF4GL_1,GF4GL 1,f420_1_c + gtp_c + glu__L_c <-> f420_2_c + pi_c + gdp_c + h_c,R09400
GLUTRS_Gln,Glutamyl-tRNA synthetase (Gln),trnagln_c + atp_c + glu__L_c <-> glutrna_gln_c + amp_c + ppi_c,R03651
HSPMS,HSPMS,2.0 ptrc_c <-> nh4_c + hspmd_c,R00018
LPPGS,LPPG synthetase,gtp_c + 2plac__L_c + h_c <-> ppi_c + lppg_c,R09397
NTRIR2y,Nitrite Reductase (NADPH),no2_c + 3.0 nadph_c + 5.0 h_c <-> 2.0 h2o_c + nh4_c + 3.0 nadp_c,R00789
PPA_1,Pyrophosphate energized proton pump,h2o_c + ppi_c <-> 2.0 pi_c + h_e,R00004
RH2CD,RH2CD,Rh2cit_c <-> h2acon_C_c + h2o_c,R10392
RH3CD,RH3CD,Rh3cit_c <-> h2o_c + h3acon_C_c,R10395
SLDy,SLDy,sl__L_c + nadp_c <-> 3spyr_c + nadph_c + h_c,R05694
TMAMT,TMAMT,tma_c + com_c <-> dma_c + mcom_c,R09124
ADAPAT,"E N-acetyl-L,L-diaminopimelate aminotransferase",glu__L_c + nal2a6o_c <-> akg_c + n6all26d_c,R04467
AROH,L-Arogenate hydro-lyase,Largn_c <-> co2_c + h2o_c + phe__L_c,R00691
ASNTRAT,Aspartyl-tRNA(Asn) amidotransferase,asptrna_asn_c + atp_c + gln__L_c + h2o_c <-> adp_c + asntrna_c + glu__L_c + h_c + pi_c,R04212
ASPTRS_Asn,Aspartyl-tRNA synthetase (Asn),asp__L_c + atp_c + trnaasn_c <-> amp_c + asptrna_asn_c + ppi_c,R03647
CEPA,Cellobiose phosphorylase,cellb_c + pi_c <-> g1p_c + glc__D_c,R00952; R06056
DAPDA,"N-acetyl-L,L-diaminopimelate deacetylase",h2o_c + n6all26d_c <-> 26dap_LL_c + ac_c,R02733
DHORD_NAD,Dihydoorotic acid dehydrogenase,dhor__S_c + nad_c <-> nadh_c + orot_c,R01869
NADHPO,NADH peroxidase,h_c + h2o2_c + nadh_c <-> 2.0 h2o_c + nad_c,R00090
SPTc,Serine-pyruvate aminotransferase,pyr_c + ser__L_c <-> ala__L_c + hpyr_c,R00585
SULFDH,Sulfide dehydrogenase,h_c + nadph_c + s_c <-> h2s_c + nadp_c,R10438
THPAT,"L-2,3,4,5-tetrahydrodipicolinate N2-acetyltransferase",accoa_c + h2o_c + thdp_c <-> coa_c + nal2a6o_c,R04364
TMDS3,Thymidylate synthase (FAD dependent),dump_c + h_c + mlthf_c + nadph_c <-> dtmp_c + nadp_c + thf_c,R06613
ASP4DC,Aspartate 4-decarboxylase,asp__L_c + h_c <-> ala__L_c + co2_c,R00397
ASPR,Aspartate racemase,asp__D_c <-> asp__L_c,R00491
ICDHx,Isocitrate dehydrogenase (NAD),icit_c + nad_c <-> akg_c + co2_c + nadh_c,R00709
ASPSE,Asparaginase,asn__L_x + h_x + h2o_x <-> asp__L_x + nh4_x,R00485
UDPGALOR,UDP-D-galactose:NAD+ 6-oxidoreductase,h2o_c + 2.0 nad_c + udpgal_c <-> 3.0 h_c + 2.0 nadh_c + udpgalur_c,R00501
AABHH,Alpha-Aminobutyryl histidine hydrolase,4abut_c + his__L_c <-> h2o_c + hcarn_c,R01992
G5DHx,"Glutamate-5-semialdehyde dehydrogenase, glyoxysome",glu5p_x + h_x + nadph_x <-> glu5sa_x + nadp_x + pi_x,R03313
ARGSS_1,Argininosuccinate synthase,asp__L_c + atp_c + citr__L_c <-> amp_c + argsuc_c + 2.0 h_c + ppi_c,R01954
OCT,Ornithine carbamoyltransferase,cbp_c + orn_c <-> citr__L_c + pi_c,R01398
ASAPT,S-adenosylmethioninamine:spermidine 3-aminopropyltransferase,5mta_h + h_h + sprm_h <-> ametam_h + spmd_h,R02869
BADP,Beta-Alanine dipeptidase,ans_c + h2o_c <-> ala_B_c + NPmehis_c,R03288
CMK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,4c2me_h + atp_h <-> adp_h + h_h + 2p4c2me_h,R05634
CYEUOLCYCI,Cycloeucalenol cycloisomerase,cyeuol_c <-> obfool_c,R03775
DXRI,1-deoxy-D-xylulose-5-phosphate reductoisomerase,dxyl5p_h + h_h + nadph_h <-> 2me4p_h + nadp_h,R05688
DXS,1-deoxy-D-xylulose-5-phosphate synthase,g3p_h + h_h + pyr_h <-> co2_h + dxyl5p_h,R05636
FPPSh,"Farnesyl pyrophosphate synthase, chloroplast",grdp_h + ipdp_h <-> frdp_h + h_h + ppi_h,R02003
GGDR,Geranylgeranyl diphosphate reductase,ggdp_h + 3.0 h_h + 3.0 nadph_h <-> 3.0 nadp_h + phdp_h,R02063
GPPSh,"Geranyl pyrophosphate synthase, chloroplast",dmpp_h + ipdp_h <-> grdp_h + h_h + ppi_h,R01658
HPT,Homogentisate phytyltransferase,hgentis_h + phdp_h <-> co2_h + 2m6phol_h + ppi_h,R07500
MERGTROLR,"4alpha-methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol reductase",h_c + mergtrol_c + nadph_c <-> mfecostrl_c + nadp_c,R07483
MPQMT,2-methyl-6-phytylquinol methyltransferase,amet_h + 2m6phol_h <-> ahcys_h + 23dmphol_h + h_h,R07501
OBFOOLOR,"Obtusifoliol,NADPH:oxygen oxidoreductase (14-methyl cleaving)",2.0 h_c + 3.0 nadph_c + 3.0 o2_c + obfool_c <-> for_c + 4.0 h2o_c + mergtrol_c + 3.0 nadp_c,R05731
PSPPS,Presqualene-diphosphate synthase,2.0 frdp_c <-> ppi_c + psqldp_c,R00702
SS,Squalene synthase,h_c + nadph_c + psqldp_c <-> nadp_c + ppi_c + sql_c,R02872
TCYG,Tocopherol cyclase (gamma),23dmphol_h <-> gtocophe_h,R07502
TMTD,Delta-tocopherol methyltransferase,amet_h + dtocophe_h <-> ahcys_h + bvite_h + h_h,R07504
COA1819ZD9DS,Stearoyl-CoA delta9-desaturase,2.0 focytb5_c + 2.0 h_c + o2_c + stcoa_c <-> 2.0 ficytb5_c + 2.0 h2o_c + ocdce9coa_c,R02222
FACOAE1829Z12Z,"Linoleoyl-CoA hydrolase (18:2(9Z,12Z))",h2o_c + lnlccoa_c <-> coa_c + h_c + lnlc_c,R08177
FACOAE1839Z12Z15Z,"Alpha-Linolenoyl-CoA hydrolase (18:3(9Z,12Z,15Z))",h2o_c + lnlncacoa_c <-> coa_c + h_c + lnlnca_c,R08178
HBNOx,"3-Hydroxybutanoate:NAD+ oxidoreductase, glyoxysome",bhb_x + nad_x <-> acac_x + h_x + nadh_x,R01361
SSNOh,"Succinate-semialdehyde:NAD+ oxidoreductase, chloroplast",h2o_h + nad_h + sucsal_h <-> 2.0 h_h + nadh_h + succ_h,R00713
GAPDH_nadp_hi,Glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating),13dpg_h + h_h + nadph_h <-> g3p_h + nadp_h + pi_h,R01063
HCO3Ehi,"Carbonate dehydratase (HCO3 equilibration reaction), irreversible, chloroplast",h_h + hco3_h <-> co2_h + h2o_h,R00132; R10092
MDH_nadp_hi,Malate dehydrogenase (NADP+),h_h + nadph_h + oaa_h <-> mal__L_h + nadp_h,R00343
PRUK_1,Phosphoribulokinase,atp_h + ru5p__D_h <-> adp_h + h_h + rb15bp_h,R01523
SBP_1,Sedoheptulose-bisphosphatase,h2o_h + s17bp_h <-> pi_h + s7p_h,R01845
MDHC_nadp_hr,Malate dehydrogenase (oxaloacetate decarboxylating) (NADP+),mal__L_h + nadp_h <-> co2_h + nadph_h + pyr_h,R00216
ANXANASCOR,Antheraxanthin:ascorbate oxidoreductase,anxan_u + ascb__L_u <-> dhdascb_u + h2o_u + zeax_u,R07179
LCYB,Lycopene cyclase (beta-carotene producing),gcarote_u <-> caro_u,R03824
LCYD,Lycopene cyclase (delta-carotene producing),lycop_h <-> dcaro_h,R06963
LCYE,Lycopene cyclase (epsilon-carotene producing),dcaro_h <-> ecaro_h,R07840
LCYG,Lycopene cyclase (gamma-carotene producing),lycop_h <-> gcarote_h,R05341
NEOXANS,Neoxanthin synthase,vioxan_u <-> neoxan_u,R06948
VIOXANOR,Violaxanthin:ascorbate oxidoreductase,ascb__L_u + vioxan_u <-> anxan_u + dhdascb_u + h2o_u,R07178
ACSERSULL,"O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide), cytosol",acser_c + tsul_c <-> ac_c + h_c + scys__L_c,R03132
ACSERSULLh,"O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide), chloroplast",acser_h + tsul_h <-> ac_h + h_h + scys__L_h,R03132
SHSL1h,O-Succinyl-L-homoserine succinate-lyase (adding cysteine),cys__L_h + suchms_h <-> cyst__L_h + h_h + succ_h,R03260
CTINBL,"Cystathionine beta-lyase, cystine",h2o_h + cysi__L_h <-> nh4_h + pyr_h + thcys_h,R02408
CYSATm,"Aspartate aminotransferase, cysteine forming",glu__L_m + mercppyr_m <-> akg_m + cys__L_m,R00895; R00896
CYSAT,"Aspartate aminotransferase, cysteine forming, mitochondria",glu__L_h + mercppyr_h <-> akg_h + cys__L_h,R00895; R00896
CYSDO,Cysteine dioxygenase,cys__L_h + o2_h <-> 3sala_h + h_h,R00893
CYSS_1,Cysteine synthase,acser_h + h2s_h <-> ac_h + cys__L_h,R00897
CYSTBL,Cystathionine beta-lyase,h_h + h2s_h + nh4_h + pyr_h <-> cys__L_h + h2o_h,R00782
DDMCITALOR,Didemethylcitalopram:oxygen oxidoreductase (deaminating),ddmcital_c + h2o_c + o2_c <-> citalald_c + h2o2_c + nh4_c,R08348
DMCITALOR,Demethylcitalopram:oxygen oxidoreductase (deaminating),dmcital_c + h2o_c + o2_c <-> citalald_c + h2o2_c + mma_c,R08347
LIDOAMH,Lidocaine amidohydrolase,h2o_e + lido_e <-> 26dmani_e + degly_e + h_e,R08300
56DH5FLURAAMH,"5,6-dihydro-5-fluorouracil amidohydrolase",56dh5flura_c + h_c + h2o_c <-> aflburppa_c,R08227
6MPURPRT,6-mercaptopurine phosphoribosyltransferase,6mpur_c + prpp_c <-> 6tins5mp_c + ppi_c,R08237
6TINS5MPOR,6-thioinosine 5'-monophosphate:NAD oxidoreductase,6tins5mp_c + h2o_c + nad_c <-> 6txan5mp_c + h_c + nadh_c,R08240
6TXAN5MPAML,6-thioxanthine 5'-monophosphate:L-glutamine amido-ligase,6txan5mp_c + atp_c + gln__L_c + h2o_c <-> 6tgsnmp_c + amp_c + glu__L_c + 2.0 h_c + ppi_c,R08244
AFLBURPPAAMH,Alpha-fluoro-beta-ureidopropionic acid amidohydrolase,aflburppa_c + h_c + h2o_c <-> aflbala_c + co2_c + nh4_c,R08228
3HAD100_1,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0),3hdecACP_h <-> h2o_h + tdec2eACP_h,R04535
3HAD140_1,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0),3hmrsACP_h <-> h2o_h + tmrs2eACP_h,R04568
3HAD160_1,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0),3hpalmACP_h <-> h2o_h + tpalm2eACP_h,R04544
3HAD40_1,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0),3hbutACP_h <-> but2eACP_h + h2o_h,R04428
3HAD80_1,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0),3hoctACP_h <-> h2o_h + toct2eACP_h,R04537
3OAR140_1,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0),3omrsACP_h + h_h + nadph_h <-> 3hmrsACP_h + nadp_h,R04566
3OAR160_1,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0),3opalmACP_h + h_h + nadph_h <-> 3hpalmACP_h + nadp_h,R04543
3OAR40_1,3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0),actACP_h + h_h + nadph_h <-> 3hbutACP_h + nadp_h,R04533
3OAR80_1,3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0),3ooctACP_h + h_h + nadph_h <-> 3hoctACP_h + nadp_h,R04536
ACCOAC_1,Acetyl-CoA carboxylase (biotin-dependent),accoa_h + cbtnCCP_h + h_h <-> btnCCP_h + malcoa_h,R04386
MCOATA_1,Malonyl-CoA:[acyl-carrier-protein] S-malonyltransferase,ACP_h + malcoa_h <-> coa_h + malACP_h,R01626
ACACT2m,Acetyl-CoA C-acyltransferase (C6:0),accoa_m + btcoa_m <-> 3ohcoa_m + coa_m,R01177
ACACT7m,Acetyl-CoA C-acyltransferase (C16:0),accoa_m + tdcoa_m <-> 3ohdcoa_m + coa_m,R03991
ACOAR6m,Trans-2-enoyl-CoA reductase (NADPH) (C14:0),h_m + nadph_m + td2coa_m <-> nadp_m + tdcoa_m,R03989
ACOAR7m,Trans-2-enoyl-CoA reductase (NADPH) (C16:0),h_m + hdd2coa_m + nadph_m <-> nadp_m + pmtcoa_m,R01278
ECOAH3m,Enoyl-CoA hydratase (C8:0),3hocoa_m <-> h2o_m + oc2coa_m,R04746
ECOAH4m,Enoyl-CoA hydratase (C10:0),3hdcoa_m <-> dc2coa_m + h2o_m,R04744
ECOAH5m,Enoyl-CoA hydratase (C12:0),3hddcoa_m <-> dd2coa_m + h2o_m,R04170
ECOAH6m,Enoyl-CoA hydratase (C14:0),3htdcoa_m <-> h2o_m + td2coa_m,R04740
HACD2m,3-hydroxyacyl-CoA dehydrogenase (C6:0),3ohcoa_m + h_m + nadh_m <-> 3hhcoa_m + nad_m,R04748
HACD3m,3-hydroxyacyl-CoA dehydrogenase (C8:0),3oocoa_m + h_m + nadh_m <-> 3hocoa_m + nad_m,R04745
HACD6m,3-hydroxyacyl-CoA dehydrogenase (C14:0),3otdcoa_m + h_m + nadh_m <-> 3htdcoa_m + nad_m,R04739
ACOA160OR,Palmitoyl-CoA:oxygen 2-oxidoreductase,fad_x + pmtcoa_x <-> fadh2_x + hdd2coa_x,R01279
ACOA80OR,Octanoyl-CoA:oxygen 2-oxidoreductase,fad_x + occoa_x <-> fadh2_x + oc2coa_x,R03777
ECOAH2_1,(S)-Hydroxyhexanoyl-CoA hydro-lyase,h2o_x + hx2coa_x <-> 3hhcoa_x,R04749
HACD3_1,(S)-hydroxyoctanoyl-CoA:NAD oxidoreductase,3hocoa_x + nad_x <-> 3oocoa_x + h_x + nadh_x,R04745
DHFOR,Dihydrofolate:NAD+ oxidoreductase,fol_c + h_c + nadh_c <-> dhf_c + nad_c,R02235
DNTPPA_1,Dihydroneopterin triphosphate pyrophosphatase,ahdt_c + h2o_c <-> dhpmp_c + ppi_c,R04638
THFGLUS_1,Tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming),atp_c + glu__L_c + thf_c <-> adp_c + pi_c + thfglu_c,R00942
THFOR1,"5,6,7,8-Tetrahydrofolate:NAD+ oxidoreductase",fol_c + 2.0 h_c + 2.0 nadh_c <-> 2.0 nad_c + thf_c,R00937
THFOR2,"5,6,7,8-Tetrahydrofolate:NADP+ oxidoreductase",fol_c + 2.0 h_c + 2.0 nadph_c <-> 2.0 nadp_c + thf_c,R00940
BFBP,"Beta-D-Fructose 1,6-bisphosphate 1-phosphohydrolase",fdp_B_c + h2o_c <-> f6p_B_c + pi_c,R04780
BFBPh,"Beta-D-Fructose 1,6-bisphosphate 1-phosphohydrolase, chloroplast",fdp_B_h + h2o_h <-> f6p_B_h + pi_h,R04780
FBPPH,"D-Fructose-2,6-bisphosphate 2-phosphohydrolase",f26bp_c + h2o_c <-> f6p_B_c + pi_c,R02731
MPAKI,D-mannose-6-phosphate aldose-ketose-isomerase,man6p_c <-> f6p_B_c,R01819
AGMIS,1-alpha-D-Galactosyl-myo-inositol:sucrose,1Dgali_c + sucr_c <-> inost_c + raffin_c,R02411; R06071
EMGH,Epimelibiose galactohydrolase,epm_h + h2o_h <-> gal_h + man_h,R01329; R06142
GALKh,"Galactokinase, chloroplast",atp_h + gal_h <-> adp_h + gal1p_h + h_h,R01092
GALO,Galactose oxidase,gal_n + h2o_n + o2_n <-> galctn__D_n + h_n + h2o2_n,R01098
LCGH,Lactose galactohydrolase,h2o_h + lcts_h <-> gal_h + Glc_aD_h,R01678; R06098
SYGH,Stachyose galactohydrolase,h2o_h + stys_h <-> gal_h + raffin_h,R03634; R06152
ARGDh,"Arginine decarboxylase, chloroplast",glu__L_h + h_h <-> 4abut_h + co2_h,R00261
GDR_nadp_h,"Glutathione-disulfide reductase (NADP), chloroplast",gthox_h + h_h + nadph_h <-> 2.0 gthrd_h + nadp_h,R00115
GDRh,"Glutathione-disulfide reductase, chloroplast",gthox_h + h_h + nadh_h <-> 2.0 gthrd_h + nad_h,R00094
GLUS_ferr,Glutamate synthase (ferrodoxin dependent),akg_h + 2.0 fdxrd_h + gln__L_h <-> 2.0 fdxox_h + 2.0 glu__L_h + 2.0 h_h,R00021
GCL,Glutamate---cysteine ligase,atp_h + cys__L_h + glu__L_h <-> adp_h + glucys_h + h_h + pi_h,R00894
UDPSQS,UDP-sulfoquinovose synthase,so3_h + udpg_h <-> h2o_h + udpsq_h,R05775
G3PO,Glycerol-3-phosphate oxidase,dhap_h + h2o2_h <-> glyc3p_h + o2_h,R00846
AOBUTDxs,L-2-amino-3-oxobutanoate decarboxylation (spontaneous),2aobut_x + h_x <-> aact_x + co2_x,R03758
GLYCDH_1,"Glycerate dehydrogenase, mitochondrial",h_m + hpyr_m + nadh_m <-> glyc__R_m + nad_m,R01388
PGLYDH,Phosphoglycerate dehydrogenase,3pg_h + nad_h <-> 3php_h + h_h + nadh_h,R01513
PSAT,Phosphoserine aminotransferase,3php_h + glu__L_h <-> akg_h + pser__L_h,R04173
SGAT,Serine--glyoxylate aminotransferase,glx_m + ser__L_m <-> gly_m + hpyr_m,R00588
THRAL,Threonine ammonia-lyase (serine),ser__L_h <-> nh4_h + pyr_h,R00220; R00223
ASADH,Aspartate-semialdehyde dehydrogenase,4pasp_h + h_h + nadph_h <-> aspsa_h + nadp_h + pi_h,R02291
HSDH,Homoserine dehydrogenase,aspsa_h + h_h + nadph_h <-> hom__L_h + nadp_h,R01775
ENOf,"Enolase, flagellar",2pg_f <-> h2o_f + pep_f,R00658
FBAh,Fructose-bisphosphate aldolase,fdp_B_h <-> dhap_h + g3p_h,R01070
G6PI_1,Glucose-6-phosphate isomerase,g6p_A_c <-> g6p_B_c,R02739
GAPDHh,Glyceraldehyde 3-phosphate dehydrogenase (NAD),g3p_h + nad_h + pi_h <-> 13dpg_h + h_h + nadh_h,R01061
PFKh,Phosphofructokinase,atp_h + f6p_B_h <-> adp_h + fdp_B_h + h_h,R04779
PGCM,Phosphoglucomutase,g1p_c <-> g6p_A_c,R00959
PGIAh,"Glucose-6-phosphate isomerase, chloroplast (g6p-A)",g6p_A_h <-> f6p_B_h,R02740
PGMf,"Phosphoglycerate mutase, flagellar",3pg_f <-> 2pg_f,R01518
PGMm,"Phosphoglycerate mutase, mitochondria",3pg_m <-> 2pg_m,R01518
PGKf,"Phosphoglycerate kinase, flagellar",13dpg_f + adp_f <-> 3pg_f + atp_f,R01512
PGKh,"Phosphoglycerate kinase, chloroplast",13dpg_h + adp_h <-> 3pg_h + atp_h,R01512
PYKf,"Pyruvate kinase, flagellar",adp_f + h_f + pep_f <-> atp_f + pyr_f,R00200
TPIh,Triosephosphate isomerase,dhap_h <-> g3p_h,R01015
PDCm,Pyruvate decarboxylase,2ahethmpp_m <-> acald_m + thmpp_m,R00755
FORAMDx,"Formamidase, glyoxysomal",frmd_x + h2o_x <-> for_x + nh4_x,R00524
HOXPRm,2-hydroxy-3-oxopropionate reductase,glyc__R_m + nad_m <-> 2h3oppan_m + h_m + nadh_m,R01745
ICL_1,Isocitrate lyase,icit_m <-> glx_m + succ_m,R00479
MALSh,"Malate synthase, chloroplast",accoa_h + glx_h + h2o_h <-> coa_h + h_h + mal__L_h,R00472
MALSm,"Malate synthase, mitochondrial",accoa_m + glx_m + h2o_m <-> coa_m + h_m + mal__L_m,R00472
AO,Amine oxidase,h2o_c + hista_c + o2_c <-> h_c + h2o2_c + im4act_c + nh4_c,R02150
AOOAh,"5-Amino-2-oxopentanoate:2-oxoglutarate aminotransferase, chloroplast",akg_h + hisp_h <-> glu__L_h + imacp_h,R03243
HDH,"Histidinol dehydrogenase, cytosol",h2o_c + histd_c + 2.0 nad_c <-> 4.0 h_c + his__L_c + 2.0 nadh_c,R01158
HDHh,"Histidinol dehydrogenase, chloroplast",h2o_h + histd_h + 2.0 nad_h <-> 3.0 h_h + his__L_h + 2.0 nadh_h,R01158
HP,"Histidinol-phosphatase, cytosol",h_c + h2o_c + hisp_c <-> histd_c + pi_c,R03013
IGPDh,"Imidazoleglycerol-phosphate dehydratase, chloroplast",eig3p_h <-> h2o_h + imacp_h,R03457
IMGPSh,"Imizadole glycerol phosphate synthase, chloroplast",gln__L_h + prlp_h <-> aicar_h + eig3p_h + glu__L_h + h_h,R04558
PRADPh,"Phosphoribosyl-ATP diphosphatase, chloroplast",h2o_h + prbatp_h <-> 4.0 h_h + ppi_h + prbamp_h,R04035
MIHKPP,Myo-inositol-hexakisphosphate 4-phosphohydrolase,h2o_c + minohp_c <-> 2.0 h_c + mi12356p_c + pi_c,R03372
LLOX13,Linoleate 13-lipoxygenase,lnlc_c + o2_c <-> 13Shpocdcy1829Z11Ea_c,R03626
ACRS,Acireductone synthase,dkmpp_c <-> hkmpp_c + h_c,R07393
AHSL,O-Acetyl-L-homoserine succinate-lyase,achms_h + cys__L_h <-> ac_h + cyst__L_h + h_h,R03217
CBL,Cystathionine beta-lyase,cyst__L_h + h2o_h <-> hcys__L_h + nh4_h + pyr_h,R01286
MATm,"Methionine adenosyltransferase, mitochondria",atp_m + h2o_m + met__L_m <-> amet_m + h_m + pi_m + ppi_m,R00177
ANNAT,ATP:nicotinamide-nucleotide adenylyltransferase,atp_c + 2.0 h_c + nmn_c <-> nad_c + ppi_c,R00137
ANNATn,"ATP:nicotinamide-nucleotide adenylyltransferase, nucleus",atp_n + 2.0 h_n + nmn_n <-> nad_n + ppi_n,R00137
NAPT,Nicotinamide phosphoribosyltransferase,nmn_c + ppi_c <-> ncam_c + prpp_c,R01271
NNOR,NADPH:NAD+ oxidoreductase,nad_m + nadph_m <-> nadh_m + nadp_m,R00112
CPS,Carbamoyl-phosphate synthase (ammonia),2.0 atp_h + co2_h + h2o_h + nh4_h <-> 2.0 adp_h + cbp_h + 3.0 h_h + pi_h,R00149
URCBm,"Urea carboxylase, mitochondria",atp_m + hco3_m + urea_m <-> adp_m + allphn_m + 2.0 h_m + pi_m,R00774
HYNE,Hydrolysis (non-enzymatic),4ogm_c + h2o_c <-> akg_c + nh4_c,R00270
URCN_1,Urocanase,h2o_c + urcan_c <-> 4izp_c + h_c,R02914
FPGFTh,"10-Formyltetrahydrofolate:5'-phosphoribosylglycinamide formyltransferase, chloroplast",10fthf_h + gar_h <-> fgam_h + h_h + thf_h,R04325
FPGFTm,"10-Formyltetrahydrofolate:5'-phosphoribosylglycinamide formyltransferase, mitochondria",10fthf_m + gar_m <-> fgam_m + h_m + thf_m,R04325
